Wavelength	Intensity
114	497.934782609	62.7272727273
115	498.75	67.2727272727
116	499.565217391	65.1376146789
117	500.380434783	61.8181818182
118	501.195652174	73.3333333333
119	502.010869565	71.4285714286
120	502.826086957	67.619047619
121	503.641304348	58.7719298246
122	504.456521739	63.4782608696
123	505.27173913	67.0
124	506.086956522	75.5319148936
125	506.902173913	74.7474747475
126	507.717391304	63.3928571429
127	508.532608696	73.6363636364
128	509.347826087	61.6822429907
129	510.163043478	64.1509433962
130	510.97826087	71.6666666667
131	511.793478261	63.5593220339
132	512.608695652	64.9572649573
133	513.423913043	66.6666666667
134	514.239130435	69.4915254237
135	515.054347826	63.28125
136	515.869565217	65.6
137	516.684782609	65.0
138	517.5	67.1641791045
139	518.315217391	66.4233576642
140	519.130434783	63.768115942
141	519.945652174	67.6923076923
142	520.760869565	60.5442176871
143	521.576086957	60.9589041096
144	522.391304348	67.5496688742
145	523.206521739	67.3202614379
146	524.02173913	68.6666666667
147	524.836956522	65.5629139073
148	525.652173913	63.0573248408
149	526.467391304	58.3850931677
150	527.282608696	61.7283950617
151	528.097826087	64.7435897436
152	528.913043478	65.2173913043
153	529.72826087	61.9047619048
154	530.543478261	62.4242424242
155	531.358695652	60.9195402299
156	532.173913043	63.8036809816
157	532.989130435	60.1156069364
158	533.804347826	62.3529411765
159	534.619565217	65.2694610778
160	535.434782609	65.2941176471
161	536.25	64.5962732919
162	537.065217391	60.7142857143
163	537.880434783	65.2694610778
164	538.695652174	64.8148148148
165	539.510869565	64.4578313253
166	540.326086957	65.2694610778
167	541.141304348	65.0887573964
168	541.956521739	66.4670658683
169	542.77173913	67.2619047619
170	543.586956522	65.3179190751
171	544.402173913	68.4210526316
172	545.217391304	66.8571428571
173	546.032608696	66.2857142857
174	546.847826087	65.3409090909
175	547.663043478	63.2768361582
176	548.47826087	63.8418079096
177	549.293478261	64.2458100559
178	550.108695652	69.8324022346
179	550.923913043	68.3615819209
180	551.739130435	69.3181818182
181	552.554347826	70.2857142857
182	553.369565217	67.6136363636
183	554.184782609	74.011299435
184	555.0	70.2247191011
185	555.815217391	69.4444444444
186	556.630434783	67.5977653631
187	557.445652174	66.2983425414
188	558.260869565	66.4835164835
189	559.076086957	70.5555555556
190	559.891304348	67.5977653631
191	560.706521739	68.156424581
192	561.52173913	69.2737430168
193	562.336956522	69.2737430168
194	563.152173913	67.5977653631
195	563.967391304	65.3846153846
196	564.782608696	68.3333333333
197	565.597826087	70.5555555556
198	566.413043478	67.5824175824
199	567.22826087	65.5737704918
200	568.043478261	68.3333333333
201	568.858695652	68.1318681319
202	569.673913043	67.032967033
203	570.489130435	68.306010929
204	571.304347826	69.4444444444
205	572.119565217	68.7150837989
206	572.934782609	66.1111111111
207	573.75	64.8044692737
208	574.565217391	66.4804469274
209	575.380434783	66.4804469274
210	576.195652174	70.2247191011
211	577.010869565	67.4157303371
212	577.826086957	65.5367231638
213	578.641304348	67.2413793103
214	579.456521739	69.1428571429
215	580.27173913	68.75
216	581.086956522	65.7142857143
217	581.902173913	68.3908045977
218	582.717391304	66.2790697674
219	583.532608696	66.4739884393
220	584.347826087	68.4210526316
221	585.163043478	67.2514619883
222	585.97826087	66.8639053254
223	586.793478261	67.6470588235
224	587.608695652	65.6976744186
225	588.423913043	69.2307692308
226	589.239130435	67.6470588235
227	590.054347826	65.2941176471
228	590.869565217	67.0658682635
229	591.684782609	66.6666666667
230	592.5	64.2857142857
231	593.315217391	68.8622754491
232	594.130434783	64.0718562874
233	594.945652174	64.0718562874
234	595.760869565	66.0606060606
235	596.576086957	67.2727272727
236	597.391304348	65.4320987654
237	598.206521739	68.9024390244
238	599.02173913	67.9012345679
239	599.836956522	78.125
240	600.652173913	66.2576687117
241	601.467391304	66.4596273292
242	602.282608696	69.1823899371
243	603.097826087	66.25
244	603.913043478	74.6835443038
245	604.72826087	72.5
246	605.543478261	70.0
247	606.358695652	76.25
248	607.173913043	71.974522293
249	607.989130435	71.6129032258
250	608.804347826	77.6315789474
251	609.619565217	79.8742138365
252	610.434782609	73.0769230769
253	611.25	71.686746988
254	612.065217391	76.0736196319
255	612.880434783	69.2737430168
256	613.695652174	68.5863874346
257	614.510869565	68.7179487179
258	615.326086957	69.6078431373
259	616.141304348	71.1711711712
260	616.956521739	64.5021645022
261	617.77173913	61.7283950617
262	618.586956522	62.4489795918
263	619.402173913	63.6363636364
264	620.217391304	64.7940074906
265	621.032608696	62.4535315985
266	621.847826087	62.5
267	622.663043478	64.8936170213
268	623.47826087	63.4408602151
269	624.293478261	61.5384615385
270	625.108695652	61.9863013699
271	625.923913043	67.0175438596
272	626.739130435	67.0175438596
273	627.554347826	60.9756097561
274	628.369565217	59.4405594406
275	629.184782609	62.0567375887
276	630.0	61.4840989399
277	630.815217391	63.2142857143
278	631.630434783	64.4128113879
279	632.445652174	62.0567375887
280	633.260869565	61.8518518519
281	634.076086957	67.1586715867
282	634.891304348	62.5
283	635.706521739	62.962962963
284	636.52173913	65.2985074627
285	637.336956522	62.1212121212
286	638.152173913	61.5384615385
287	638.967391304	61.7760617761
288	639.782608696	57.9925650558
289	640.597826087	55.9701492537
290	641.413043478	58.3657587549
291	642.22826087	63.1578947368
292	643.043478261	57.7689243028
293	643.858695652	60.8163265306
294	644.673913043	57.421875
295	645.489130435	61.5062761506
296	646.304347826	59.6
297	647.119565217	61.8852459016
298	647.934782609	61.8852459016
299	648.75	62.2950819672
300	649.565217391	58.4
301	650.380434783	64.3171806167
302	651.195652174	65.625
303	652.010869565	61.8025751073
304	652.826086957	60.6060606061
305	653.641304348	60.2564102564
306	654.456521739	61.038961039
307	655.27173913	58.2278481013
308	656.086956522	62.3853211009
309	656.902173913	61.2612612613
310	657.717391304	61.0619469027
311	658.532608696	61.8834080717
312	659.347826087	60.2739726027
313	660.163043478	61.214953271
314	660.97826087	62.1495327103
315	661.793478261	61.6822429907
316	662.608695652	58.7962962963
317	663.423913043	60.7476635514
318	664.239130435	60.5504587156
319	665.054347826	62.7358490566
320	665.869565217	62.7358490566
321	666.684782609	60.5633802817
322	667.5	59.5348837209
323	668.315217391	60.0938967136
324	669.130434783	60.1851851852
325	669.945652174	59.8130841121
326	670.760869565	60.3773584906
327	671.576086957	60.3773584906
328	672.391304348	60.1895734597
329	673.206521739	60.1941747573
330	674.02173913	57.2115384615
331	674.836956522	58.2524271845
332	675.652173913	58.2524271845
333	676.467391304	55.3398058252
334	677.282608696	57.3529411765
335	678.097826087	56.4356435644
336	678.913043478	56.2189054726
337	679.72826087	57.2864321608
338	680.543478261	55.5555555556
339	681.358695652	56.4102564103
340	682.173913043	57.3684210526
341	682.989130435	56.5445026178
342	683.804347826	58.5106382979
343	684.619565217	54.2553191489
344	685.434782609	56.4516129032
345	686.25	55.2631578947
346	687.065217391	55.3191489362
347	687.880434783	58.2887700535
348	688.695652174	56.3535911602
349	689.510869565	56.9832402235
350	690.326086957	58.6592178771
351	691.141304348	57.7777777778
352	691.956521739	58.5227272727
353	692.77173913	58.2857142857
354	693.586956522	53.1073446328
355	694.402173913	55.4913294798
356	695.217391304	52.9411764706
357	696.032608696	56.4705882353
358	696.847826087	53.8461538462
359	697.663043478	55.2941176471
360	698.47826087	54.8780487805
361	699.293478261	54.375
362	700.108695652	56.7073170732
