count   wavelength	intensity
234	595.760869565	165.0
235	596.576086957	165.0
236	597.391304348	162.0
237	598.206521739	164.0
238	599.02173913	162.0
239	599.836956522	160.0
240	600.652173913	163.0
241	601.467391304	161.0
242	602.282608696	159.0
243	603.097826087	160.0
244	603.913043478	158.0
245	604.72826087	160.0
246	605.543478261	160.0
247	606.358695652	160.0
248	607.173913043	157.0
249	607.989130435	155.0
250	608.804347826	152.0
251	609.619565217	159.0
252	610.434782609	156.0
253	611.25	166.0
254	612.065217391	163.0
255	612.880434783	179.0
256	613.695652174	191.0
257	614.510869565	195.0
258	615.326086957	204.0
259	616.141304348	222.0
260	616.956521739	231.0
261	617.77173913	243.0
262	618.586956522	245.0
263	619.402173913	253.0
264	620.217391304	267.0
265	621.032608696	269.0
266	621.847826087	272.0
267	622.663043478	282.0
268	623.47826087	279.0
269	624.293478261	286.0
270	625.108695652	292.0
271	625.923913043	285.0
272	626.739130435	285.0
273	627.554347826	287.0
274	628.369565217	286.0
275	629.184782609	282.0
276	630.0	283.0
277	630.815217391	280.0
278	631.630434783	281.0
279	632.445652174	282.0
280	633.260869565	270.0
281	634.076086957	271.0
282	634.891304348	272.0
283	635.706521739	270.0
284	636.52173913	268.0
285	637.336956522	264.0
286	638.152173913	273.0
287	638.967391304	259.0
288	639.782608696	269.0
289	640.597826087	268.0
290	641.413043478	257.0
291	642.22826087	247.0
292	643.043478261	251.0
293	643.858695652	245.0
294	644.673913043	256.0
295	645.489130435	239.0
296	646.304347826	250.0
297	647.119565217	244.0
298	647.934782609	244.0
299	648.75	244.0
300	649.565217391	250.0
301	650.380434783	227.0
302	651.195652174	224.0
303	652.010869565	233.0
304	652.826086957	231.0
305	653.641304348	234.0
306	654.456521739	231.0
307	655.27173913	237.0
308	656.086956522	218.0
309	656.902173913	222.0
310	657.717391304	226.0
311	658.532608696	223.0
312	659.347826087	219.0
313	660.163043478	214.0
314	660.97826087	214.0
315	661.793478261	214.0
316	662.608695652	216.0
317	663.423913043	214.0
318	664.239130435	218.0
319	665.054347826	212.0
320	665.869565217	212.0
321	666.684782609	213.0
322	667.5	215.0
323	668.315217391	213.0
324	669.130434783	216.0
325	669.945652174	214.0
326	670.760869565	212.0
327	671.576086957	212.0
328	672.391304348	211.0
329	673.206521739	206.0
330	674.02173913	208.0
331	674.836956522	206.0
332	675.652173913	206.0
333	676.467391304	206.0
334	677.282608696	204.0
335	678.097826087	202.0
336	678.913043478	201.0
337	679.72826087	199.0
338	680.543478261	198.0
339	681.358695652	195.0
340	682.173913043	190.0
341	682.989130435	191.0
342	683.804347826	188.0
343	684.619565217	188.0
344	685.434782609	186.0
345	686.25	190.0
346	687.065217391	188.0
347	687.880434783	187.0
348	688.695652174	181.0
349	689.510869565	179.0
350	690.326086957	179.0
351	691.141304348	180.0
352	691.956521739	176.0
353	692.77173913	175.0
354	693.586956522	177.0
355	694.402173913	173.0
356	695.217391304	170.0
357	696.032608696	170.0
358	696.847826087	169.0
359	697.663043478	170.0
360	698.47826087	164.0
361	699.293478261	160.0
362	700.108695652	164.0
363	700.923913043	162.0
364	701.739130435	161.0
365	702.554347826	156.0
366	703.369565217	159.0
367	704.184782609	163.0
368	705.0	158.0
369	705.815217391	157.0
370	706.630434783	153.0
371	707.445652174	149.0
372	708.260869565	145.0
373	709.076086957	144.0
374	709.891304348	143.0
375	710.706521739	139.0
376	711.52173913	138.0
377	712.336956522	138.0
378	713.152173913	141.0
379	713.967391304	138.0
380	714.782608696	138.0
381	715.597826087	141.0
382	716.413043478	123.0
383	717.22826087	125.0
384	718.043478261	125.0
385	718.858695652	122.0
386	719.673913043	125.0
387	720.489130435	119.0
388	721.304347826	121.0
389	722.119565217	119.0
390	722.934782609	118.0
391	723.75	110.0
392	724.565217391	118.0
393	725.380434783	114.0
394	726.195652174	110.0
395	727.010869565	108.0
396	727.826086957	109.0
397	728.641304348	107.0
398	729.456521739	103.0
399	730.27173913	99.0
400	731.086956522	103.0
401	731.902173913	103.0
402	732.717391304	101.0
403	733.532608696	97.0
404	734.347826087	98.0
405	735.163043478	95.0
406	735.97826087	98.0
407	736.793478261	93.0
408	737.608695652	86.0
409	738.423913043	92.0
410	739.239130435	92.0
411	740.054347826	87.0
412	740.869565217	90.0
413	741.684782609	86.0
414	742.5	92.0
415	743.315217391	83.0
416	744.130434783	84.0
417	744.945652174	86.0
418	745.760869565	79.0
419	746.576086957	78.0
420	747.391304348	81.0
421	748.206521739	75.0
422	749.02173913	75.0
423	749.836956522	75.0
424	750.652173913	75.0
425	751.467391304	75.0
426	752.282608696	73.0
427	753.097826087	70.0
428	753.913043478	70.0
429	754.72826087	71.0
430	755.543478261	70.0
431	756.358695652	73.0
432	757.173913043	70.0
433	757.989130435	67.0
434	758.804347826	77.0
435	759.619565217	65.0
436	760.434782609	76.0
437	761.25	63.0
438	762.065217391	60.0
439	762.880434783	74.0
440	763.695652174	65.0
441	764.510869565	65.0
442	765.326086957	60.0
443	766.141304348	63.0
444	766.956521739	66.0
445	767.77173913	60.0
446	768.586956522	63.0
447	769.402173913	63.0
448	770.217391304	61.0
449	771.032608696	64.0
450	771.847826087	55.0
451	772.663043478	64.0
452	773.47826087	60.0
453	774.293478261	60.0
454	775.108695652	56.0
455	775.923913043	56.0
456	776.739130435	56.0
457	777.554347826	59.0
458	778.369565217	58.0
459	779.184782609	55.0
