Wavelength	Intensity
118	501.195652174	43.8095238095
119	502.010869565	45.7142857143
120	502.826086957	45.7142857143
121	503.641304348	43.8596491228
122	504.456521739	41.7391304348
123	505.27173913	48.0
124	506.086956522	51.0638297872
125	506.902173913	48.4848484848
126	507.717391304	42.8571428571
127	508.532608696	43.6363636364
128	509.347826087	44.8598130841
129	510.163043478	45.2830188679
130	510.97826087	40.0
131	511.793478261	38.9830508475
132	512.608695652	39.3162393162
133	513.423913043	37.3983739837
134	514.239130435	38.9830508475
135	515.054347826	35.9375
136	515.869565217	38.4
137	516.684782609	40.0
138	517.5	35.8208955224
139	518.315217391	33.5766423358
140	519.130434783	33.3333333333
141	519.945652174	34.6153846154
142	520.760869565	31.2925170068
143	521.576086957	31.5068493151
144	522.391304348	30.4635761589
145	523.206521739	30.0653594771
146	524.02173913	30.6666666667
147	524.836956522	30.4635761589
148	525.652173913	29.2993630573
149	526.467391304	28.5714285714
150	527.282608696	28.3950617284
151	528.097826087	29.4871794872
152	528.913043478	28.5714285714
153	529.72826087	27.380952381
154	530.543478261	27.8787878788
155	531.358695652	26.4367816092
156	532.173913043	28.2208588957
157	532.989130435	26.5895953757
158	533.804347826	27.0588235294
159	534.619565217	27.5449101796
160	535.434782609	27.0588235294
161	536.25	28.5714285714
162	537.065217391	27.380952381
163	537.880434783	27.5449101796
164	538.695652174	28.3950617284
165	539.510869565	27.7108433735
166	540.326086957	27.5449101796
167	541.141304348	27.2189349112
168	541.956521739	27.5449101796
169	542.77173913	27.380952381
170	543.586956522	26.5895953757
171	544.402173913	26.9005847953
172	545.217391304	26.2857142857
173	546.032608696	26.2857142857
174	546.847826087	26.1363636364
175	547.663043478	25.988700565
176	548.47826087	25.988700565
177	549.293478261	25.6983240223
178	550.108695652	25.6983240223
179	550.923913043	25.988700565
180	551.739130435	26.1363636364
181	552.554347826	26.2857142857
182	553.369565217	26.1363636364
183	554.184782609	25.988700565
184	555.0	25.8426966292
185	555.815217391	25.5555555556
186	556.630434783	25.6983240223
187	557.445652174	25.4143646409
188	558.260869565	25.2747252747
189	559.076086957	25.5555555556
190	559.891304348	25.6983240223
191	560.706521739	25.6983240223
192	561.52173913	25.6983240223
193	562.336956522	24.5810055866
194	563.152173913	25.1396648045
195	563.967391304	25.2747252747
196	564.782608696	25.0
197	565.597826087	25.0
198	566.413043478	25.2747252747
199	567.22826087	25.1366120219
200	568.043478261	25.5555555556
201	568.858695652	23.6263736264
202	569.673913043	24.1758241758
203	570.489130435	25.1366120219
204	571.304347826	25.5555555556
205	572.119565217	25.1396648045
206	572.934782609	23.8888888889
207	573.75	24.0223463687
208	574.565217391	24.0223463687
209	575.380434783	24.0223463687
210	576.195652174	24.1573033708
211	577.010869565	24.1573033708
212	577.826086957	24.2937853107
213	578.641304348	24.7126436782
214	579.456521739	24.5714285714
215	580.27173913	24.4318181818
216	581.086956522	24.5714285714
217	581.902173913	24.7126436782
218	582.717391304	25.0
219	583.532608696	24.8554913295
220	584.347826087	25.1461988304
221	585.163043478	25.1461988304
222	585.97826087	25.4437869822
223	586.793478261	25.2941176471
224	587.608695652	25.0
225	588.423913043	25.4437869822
226	589.239130435	25.2941176471
227	590.054347826	25.2941176471
228	590.869565217	25.748502994
229	591.684782609	25.5952380952
230	592.5	25.5952380952
231	593.315217391	25.748502994
232	594.130434783	25.748502994
233	594.945652174	25.748502994
234	595.760869565	26.0606060606
235	596.576086957	26.0606060606
236	597.391304348	26.5432098765
237	598.206521739	26.2195121951
238	599.02173913	27.1604938272
239	599.836956522	27.5
240	600.652173913	26.9938650307
241	601.467391304	27.3291925466
242	602.282608696	27.6729559748
243	603.097826087	27.5
244	603.913043478	27.8481012658
245	604.72826087	27.5
246	605.543478261	27.5
247	606.358695652	27.5
248	607.173913043	28.025477707
249	607.989130435	28.3870967742
250	608.804347826	28.9473684211
251	609.619565217	28.3018867925
252	610.434782609	28.8461538462
253	611.25	27.1084337349
254	612.065217391	27.6073619632
255	612.880434783	25.1396648045
256	613.695652174	23.5602094241
257	614.510869565	23.0769230769
258	615.326086957	22.0588235294
259	616.141304348	20.2702702703
260	616.956521739	19.4805194805
261	617.77173913	18.5185185185
262	618.586956522	18.3673469388
263	619.402173913	17.7865612648
264	620.217391304	16.8539325843
265	621.032608696	17.843866171
266	621.847826087	16.9117647059
267	622.663043478	17.3758865248
268	623.47826087	16.4874551971
269	624.293478261	16.0839160839
270	625.108695652	16.7808219178
271	625.923913043	17.1929824561
272	626.739130435	17.1929824561
273	627.554347826	17.0731707317
274	628.369565217	17.1328671329
275	629.184782609	18.7943262411
276	630.0	18.7279151943
277	630.815217391	18.9285714286
278	631.630434783	19.9288256228
279	632.445652174	17.7304964539
280	633.260869565	18.5185185185
281	634.076086957	18.4501845018
282	634.891304348	18.3823529412
283	635.706521739	18.5185185185
284	636.52173913	20.1492537313
285	637.336956522	21.9696969697
286	638.152173913	19.0476190476
287	638.967391304	22.3938223938
288	639.782608696	19.3308550186
289	640.597826087	20.5223880597
290	641.413043478	21.4007782101
291	642.22826087	23.4817813765
292	643.043478261	20.7171314741
293	643.858695652	21.2244897959
294	644.673913043	20.3125
295	645.489130435	21.7573221757
296	646.304347826	20.4
297	647.119565217	21.3114754098
298	647.934782609	21.3114754098
299	648.75	20.0819672131
300	649.565217391	20.8
301	650.380434783	24.2290748899
302	651.195652174	23.2142857143
303	652.010869565	22.3175965665
304	652.826086957	22.5108225108
305	653.641304348	23.5042735043
306	654.456521739	22.5108225108
307	655.27173913	21.94092827
308	656.086956522	23.8532110092
309	656.902173913	24.7747747748
310	657.717391304	24.3362831858
311	658.532608696	23.3183856502
312	659.347826087	23.7442922374
313	660.163043478	22.8971962617
314	660.97826087	24.2990654206
315	661.793478261	24.2990654206
316	662.608695652	24.0740740741
317	663.423913043	23.8317757009
318	664.239130435	23.8532110092
319	665.054347826	24.5283018868
320	665.869565217	24.5283018868
321	666.684782609	23.0046948357
322	667.5	24.6511627907
323	668.315217391	24.882629108
324	669.130434783	24.537037037
325	669.945652174	24.7663551402
326	670.760869565	23.1132075472
327	671.576086957	25.9433962264
328	672.391304348	24.1706161137
329	673.206521739	24.7572815534
330	674.02173913	24.5192307692
331	674.836956522	24.7572815534
332	675.652173913	24.7572815534
333	676.467391304	23.3009708738
334	677.282608696	23.5294117647
335	678.097826087	25.2475247525
336	678.913043478	23.8805970149
337	679.72826087	24.1206030151
338	680.543478261	24.2424242424
339	681.358695652	26.1538461538
340	682.173913043	26.8421052632
341	682.989130435	25.1308900524
342	683.804347826	25.5319148936
343	684.619565217	27.1276595745
344	685.434782609	25.8064516129
345	686.25	25.2631578947
346	687.065217391	25.5319148936
347	687.880434783	25.6684491979
348	688.695652174	26.5193370166
349	689.510869565	26.8156424581
350	690.326086957	26.8156424581
351	691.141304348	26.6666666667
352	691.956521739	27.2727272727
353	692.77173913	29.1428571429
354	693.586956522	27.1186440678
355	694.402173913	27.7456647399
356	695.217391304	27.6470588235
357	696.032608696	28.2352941176
358	696.847826087	28.4023668639
359	697.663043478	28.2352941176
360	698.47826087	29.2682926829
361	699.293478261	30.0
362	700.108695652	29.2682926829
363	700.923913043	29.6296296296
364	701.739130435	29.8136645963
365	702.554347826	30.7692307692
366	703.369565217	30.1886792453
367	704.184782609	29.4478527607
368	705.0	30.3797468354
369	705.815217391	30.5732484076
370	706.630434783	31.3725490196
371	707.445652174	32.2147651007
372	708.260869565	33.1034482759
373	709.076086957	33.3333333333
374	709.891304348	33.5664335664
375	710.706521739	34.5323741007
376	711.52173913	34.7826086957
377	712.336956522	34.7826086957
378	713.152173913	34.0425531915
379	713.967391304	34.7826086957
380	714.782608696	34.7826086957
381	715.597826087	34.0425531915
382	716.413043478	39.0243902439
383	717.22826087	38.4
384	718.043478261	38.4
385	718.858695652	39.3442622951
386	719.673913043	37.6
387	720.489130435	39.4957983193
388	721.304347826	38.8429752066
389	722.119565217	39.4957983193
390	722.934782609	39.8305084746
391	723.75	42.7272727273
392	724.565217391	39.8305084746
393	725.380434783	41.2280701754
394	726.195652174	42.7272727273
395	727.010869565	43.5185185185
396	727.826086957	43.119266055
397	728.641304348	43.9252336449
398	729.456521739	45.6310679612
399	730.27173913	47.4747474747
400	731.086956522	45.6310679612
401	731.902173913	45.6310679612
402	732.717391304	46.5346534653
403	733.532608696	48.4536082474
404	734.347826087	47.9591836735
405	735.163043478	49.4736842105
406	735.97826087	47.9591836735
407	736.793478261	50.5376344086
408	737.608695652	54.6511627907
409	738.423913043	51.0869565217
410	739.239130435	51.0869565217
411	740.054347826	54.0229885057
412	740.869565217	52.2222222222
413	741.684782609	54.6511627907
414	742.5	51.0869565217
415	743.315217391	56.6265060241
416	744.130434783	55.9523809524
417	744.945652174	53.488372093
418	745.760869565	58.2278481013
419	746.576086957	58.9743589744
420	747.391304348	56.7901234568
421	748.206521739	61.3333333333
422	749.02173913	61.3333333333
423	749.836956522	61.3333333333
424	750.652173913	61.3333333333
425	751.467391304	62.6666666667
426	752.282608696	63.0136986301
427	753.097826087	65.7142857143
428	753.913043478	65.7142857143
429	754.72826087	64.7887323944
430	755.543478261	65.7142857143
431	756.358695652	63.0136986301
432	757.173913043	65.7142857143
433	757.989130435	68.6567164179
434	758.804347826	59.7402597403
435	759.619565217	70.7692307692
436	760.434782609	60.5263157895
437	761.25	73.0158730159
438	762.065217391	76.6666666667
439	762.880434783	62.1621621622
440	763.695652174	70.7692307692
441	764.510869565	70.7692307692
442	765.326086957	76.6666666667
443	766.141304348	73.0158730159
444	766.956521739	69.696969697
445	767.77173913	76.6666666667
446	768.586956522	73.0158730159
447	769.402173913	73.0158730159
448	770.217391304	75.4098360656
449	771.032608696	71.875
450	771.847826087	78.1818181818
451	772.663043478	71.875
452	773.47826087	76.6666666667
453	774.293478261	71.6666666667
454	775.108695652	82.1428571429
455	775.923913043	82.1428571429
456	776.739130435	82.1428571429
457	777.554347826	77.9661016949
458	778.369565217	79.3103448276
459	779.184782609	83.6363636364
