Wavelength	Intensity
0	405.0	86.1538461538
1	405.815217391	81.1594202899
2	406.630434783	85.2941176471
3	407.445652174	86.7647058824
4	408.260869565	87.1428571429
5	409.076086957	79.4871794872
6	409.891304348	87.5
7	410.706521739	77.7777777778
8	411.52173913	80.487804878
9	412.336956522	79.5454545455
10	413.152173913	77.4193548387
11	413.967391304	80.612244898
12	414.782608696	83.3333333333
13	415.597826087	83.1775700935
14	416.413043478	80.8695652174
15	417.22826087	80.5084745763
16	418.043478261	80.6451612903
17	418.858695652	76.2962962963
18	419.673913043	75.1773049645
19	420.489130435	78.6206896552
20	421.304347826	78.1456953642
21	422.119565217	78.75
22	422.934782609	81.0975609756
23	423.75	77.9069767442
24	424.565217391	78.9772727273
25	425.380434783	79.6703296703
26	426.195652174	76.8421052632
27	427.010869565	77.1573604061
28	427.826086957	78.8177339901
29	428.641304348	77.8846153846
30	429.456521739	81.9047619048
31	430.27173913	81.308411215
32	431.086956522	82.2727272727
33	431.902173913	83.0357142857
34	432.717391304	84.8214285714
35	433.532608696	85.2173913043
36	434.347826087	85.4077253219
37	435.163043478	82.9166666667
38	435.97826087	87.0833333333
39	436.793478261	88.7966804979
40	437.608695652	90.2040816327
41	438.423913043	89.5582329317
42	439.239130435	89.0625
43	440.054347826	89.9224806202
44	440.869565217	89.6153846154
45	441.684782609	90.3846153846
46	442.5	90.4214559387
47	443.315217391	89.3939393939
48	444.130434783	91.2878787879
49	444.945652174	91.2878787879
50	445.760869565	90.8745247148
51	446.576086957	90.5303030303
52	447.391304348	91.2878787879
53	448.206521739	91.6666666667
54	449.02173913	91.6666666667
55	449.836956522	91.6666666667
56	450.652173913	91.6666666667
57	451.467391304	91.2878787879
58	452.282608696	91.2878787879
59	453.097826087	91.2878787879
60	453.913043478	91.2878787879
61	454.72826087	91.2878787879
62	455.543478261	90.5303030303
63	456.358695652	90.5303030303
64	457.173913043	90.5303030303
65	457.989130435	89.3939393939
66	458.804347826	89.0151515152
67	459.619565217	89.0151515152
68	460.434782609	88.2575757576
69	461.25	87.7394636015
70	462.065217391	87.7394636015
71	462.880434783	84.1698841699
72	463.695652174	82.5581395349
73	464.510869565	82.1428571429
74	465.326086957	82.0717131474
75	466.141304348	82.5203252033
76	466.956521739	82.1576763485
77	467.77173913	82.3529411765
78	468.586956522	81.2765957447
79	469.402173913	80.8695652174
80	470.217391304	81.1403508772
81	471.032608696	79.5555555556
82	471.847826087	78.4753363229
83	472.663043478	76.6055045872
84	473.47826087	73.9534883721
85	474.293478261	73.1132075472
86	475.108695652	74.8768472906
87	475.923913043	72.3618090452
88	476.739130435	71.5025906736
89	477.554347826	70.8994708995
90	478.369565217	71.978021978
91	479.184782609	71.7514124294
92	480.0	68.5714285714
93	480.815217391	68.2352941176
94	481.630434783	70.625
95	482.445652174	72.9032258065
