Wavelength	Intensity
154	530.543478261	54.5454545455
155	531.358695652	52.2988505747
156	532.173913043	63.8036809816
157	532.989130435	54.9132947977
158	533.804347826	57.6470588235
159	534.619565217	59.2814371257
160	535.434782609	55.2941176471
161	536.25	58.3850931677
162	537.065217391	56.5476190476
163	537.880434783	55.0898203593
164	538.695652174	61.1111111111
165	539.510869565	60.2409638554
166	540.326086957	60.4790419162
167	541.141304348	58.5798816568
168	541.956521739	58.0838323353
169	542.77173913	56.5476190476
170	543.586956522	56.6473988439
171	544.402173913	57.8947368421
172	545.217391304	57.1428571429
173	546.032608696	58.8571428571
174	546.847826087	60.2272727273
175	547.663043478	58.7570621469
176	548.47826087	58.1920903955
177	549.293478261	61.4525139665
178	550.108695652	62.5698324022
179	550.923913043	60.4519774011
180	551.739130435	60.7954545455
181	552.554347826	62.2857142857
182	553.369565217	62.5
183	554.184782609	59.8870056497
184	555.0	59.5505617978
185	555.815217391	58.3333333333
186	556.630434783	58.1005586592
187	557.445652174	59.1160220994
188	558.260869565	60.989010989
189	559.076086957	60.0
190	559.891304348	59.217877095
191	560.706521739	61.4525139665
192	561.52173913	58.1005586592
193	562.336956522	59.7765363128
194	563.152173913	61.4525139665
195	563.967391304	59.8901098901
196	564.782608696	61.6666666667
197	565.597826087	61.6666666667
198	566.413043478	62.6373626374
199	567.22826087	62.2950819672
200	568.043478261	62.7777777778
201	568.858695652	63.1868131868
202	569.673913043	62.0879120879
203	570.489130435	61.2021857923
204	571.304347826	62.7777777778
205	572.119565217	60.8938547486
206	572.934782609	59.4444444444
207	573.75	62.0111731844
208	574.565217391	62.5698324022
209	575.380434783	60.3351955307
210	576.195652174	59.5505617978
211	577.010869565	60.1123595506
212	577.826086957	57.0621468927
213	578.641304348	60.3448275862
214	579.456521739	60.0
215	580.27173913	59.6590909091
216	581.086956522	57.7142857143
217	581.902173913	57.4712643678
218	582.717391304	58.7209302326
219	583.532608696	59.5375722543
220	584.347826087	59.649122807
221	585.163043478	61.9883040936
222	585.97826087	62.1301775148
223	586.793478261	61.7647058824
224	587.608695652	58.1395348837
225	588.423913043	59.1715976331
226	589.239130435	58.2352941176
227	590.054347826	58.2352941176
228	590.869565217	59.2814371257
229	591.684782609	60.119047619
230	592.5	59.5238095238
231	593.315217391	58.6826347305
232	594.130434783	58.6826347305
233	594.945652174	59.2814371257
234	595.760869565	61.8181818182
235	596.576086957	60.6060606061
236	597.391304348	58.024691358
